number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
14601,[Bug]: require.resolve() with `options.paths` ignores `moduleNameMapper`,1696413289,1709557646,,layershifter,0,3,open,0,NONE,11,3,0,0,0,0,0,0,0,3,189543.0,@Microsoft,313,5,118,5,1441728514,1729497174
14606,[Bug]: Mock called with DOM element A claims to have also been called with element B when they share the same class,1696602832,1706573268,1703927669.0,lexo-tfuerer,0,2,closed,1,NONE,3,0,0,0,0,0,0,0,0,0,243340.0,LEXO,0,0,0,0,1631710925,1704702837
14608,[Bug]: Jest Mocks Don't Work for ESM for Modules Used Outside Test Files,1696846172,1699488485,1696847220.0,Varagos,0,2,closed,1,NONE,2,0,0,0,0,0,0,0,0,0,294578.0,@Bitloops,6,12,22,0,1586462121,1729253575
14615,[Bug]: Trying to run a jest test in a jetbrains environment fails: `TypeError: Cannot read properties of undefined (reading 'testEnvironmentOptions')`,1697140750,1699747716,1697149519.0,ericpromislow,0,2,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,22926.0,SUSE,32,1,90,15,1248457189,1727263193
14617,[Bug]: code that demonstrably throws fails .toThrow check,1697163676,1702426095,1699808879.0,Pomax,0,3,closed,1,NONE,5,0,0,0,0,0,0,0,0,0,49427.0,Fastly,871,0,145,10,1262768503,1720722158
14618,[Bug]: module loaded in setupFilesAfterEnv is not mockable anymore,1697213103,1707610156,1704999845.0,Aure77,0,3,closed,1,NONE,6,0,0,0,0,0,0,0,1,1,21254.0,,3,2,22,1,1327399575,1723457003
14620,"[Bug]: Long wait for diff report with complex, circular data structure",1697234357,1705277329,1702652665.0,ChristopherPAndrews,0,3,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,385960.0,,8,1,8,0,1393910617,1728473126
14626,[Bug]: Update Babel,1697620317,1700957333,1697623297.0,jmrnilsson,0,2,closed,1,NONE,7,0,0,0,0,0,0,0,0,0,568727.0,,0,6,19,32,1399287163,1728894819
14642,`--output-file` not working as expected with `--bail`,1698189044,1706054927,1703377013.0,ayazhafiz,0,3,closed,1,NONE,5,0,0,0,0,0,0,0,0,0,225945.0,@rwx-research ,165,5,113,11,1469853993,1728406155
14648,[Bug]: False positive memory leak with `fetch` on Node v20+ when using `--detectLeaks`,1698414989,1701043704,1698415240.0,enisdenjo,0,2,closed,1,NONE,2,0,0,0,0,0,0,0,0,0,3069.0,@the-guild-org,204,45,53,3,1428248060,1728300029
14649,[Bug]: False positive memory leak when running with `--experimental-vm-modules` and using `--detectLeaks`,1698418058,1709078864,1706447081.0,enisdenjo,0,3,closed,1,NONE,7,1,0,0,0,0,0,0,1,2,30342.0,@the-guild-org,204,45,53,3,1428248060,1728300029
14651,[Bug]: Functions in expect comparison errors with worker threads,1698448400,1706314073,1703640366.0,danielchencreditkarma,0,3,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,32232.0,,0,0,0,0,1639434285,1726078362
14652,[Bug]: Unable to use ESM and TypeScript alongside a JSDOM environnment,1698480632,1701216513,1698542007.0,Cipscis,0,2,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,63331.0,,13,6,48,1,1250766424,1725660329
14654,[Bug]: mock.instances not populated with correct values (using jest.unstable_mockModule and ESM),1698543963,1706400542,1703736301.0,DanielBaulig,0,3,closed,1,CONTRIBUTOR,8,0,0,0,0,0,0,0,0,0,131612.0,Self-Employed,50,2,56,10,1259313507,1712787275
14664,[Bug]: Module presence/absence leaks to isolated scope,1698675575,1709165264,1706508293.0,ikonst,0,3,closed,1,CONTRIBUTOR,6,0,0,0,0,0,0,0,0,0,75639.0,,59,10,101,30,1320929780,1729298976
14665,"[Bug]: Jest failed to parse a file. This happens e.g. when your code or its dependencies use non-standard JavaScript syntax, or when Jest is not configured to support such syntax.",1698751214,1701648523,1698755350.0,utkarsh-1602,0,3,closed,1,NONE,3,0,0,0,0,0,0,0,0,0,83267.0,,33,69,40,0,1614774579,1720263649
14668,[Bug]: Comparing different URLs with `toStrictEqual` succeeds,1698834481,1701475682,1698835090.0,haines,0,2,closed,1,NONE,2,0,0,0,0,2,0,0,0,2,50848.0,@cerbos,42,0,147,8,1305275679,1729339063
