number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
1398,React.renderComponentToStaticMarkup doesn't generate selected attributes from value/defaultValue,1397214962,1428450550,1428450550.0,insin,0,1,closed,0,NONE,9,0,0,0,0,0,0,0,0,0,1731761.0,,938,507,133,206,1269076593,1728900886
1471,onChange handler for radio buttons does not fire according to spec.,1398946723,1527719879,1460756246.0,EamonNerbonne,0,3,closed,1,NONE,29,0,0,0,0,0,0,0,0,0,110509.0,,30,0,24,4,1306075215,1729420981
1478,transitionLeave={false} does not properly bypass the need to have a transition leave animation,1399057232,1427925132,1427925132.0,dwieme,0,1,closed,0,NONE,7,0,0,0,0,0,0,0,0,0,1479193.0,Apple,5,0,8,2,1304015046,1709362062
1569,dangerouslyReplaceNodeWithMarkupByID uses getNode on an unmounted/purged ID,1400536425,1447872680,1447872680.0,syranide,0,1,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,353507.0,Cetrez,198,3,4,0,1336414389,1728197811
1593,_renderedChildren can get out of sync with DOM when render throws,1400889932,1448492566,1448492566.0,sophiebits,0,1,closed,0,COLLABORATOR,3,0,0,0,0,0,0,0,0,0,2065221.0,,10050,0,169,28,1207953759,1727030459
1698,Controlled input cursor jumps when used with layers,1402955153,1423774930,1406690159.0,sophiebits,0,1,closed,0,COLLABORATOR,5,0,0,0,0,0,0,0,0,0,170593.0,,10050,0,169,28,1207953759,1727030459
1718,IFrame onLoad event with React,1403125746,1562310639,1430298032.0,sahat,0,1,closed,0,CONTRIBUTOR,15,4,0,0,0,0,0,0,0,4,543730.0,SIMON Markets LLC,4740,18,181,18,1294033315,1726602966
1740,setState callback in componentWillMount?,1403669476,1468913768,1436964774.0,matthewwithanm,0,2,closed,0,CONTRIBUTOR,15,1,0,0,0,0,0,0,0,1,683863.0,,510,8,118,11,1252802840,1729293221
1782,React doesn't handle duplicate refs well,1404353339,1421979232,1421979232.0,sophiebits,0,1,closed,0,COLLABORATOR,6,0,0,0,0,0,0,0,0,0,1103978.0,,10050,0,169,28,1207953759,1727030459
1839,Updates in componentDidMount not batched for initial render,1405457317,1425080252,1425080252.0,syranide,0,1,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,523298.0,Cetrez,198,3,4,0,1336414389,1728197811
1905,Mutating <noscript> content on IE8 throws,1405980615,1457995028,1457995028.0,syranide,0,1,closed,0,CONTRIBUTOR,1,0,0,0,0,0,0,0,0,0,214662.0,Cetrez,198,3,4,0,1336414389,1728197811
1920,Unexpected behaviour on Input element onKeyPress event,1406195277,1499384255,1499384255.0,marcbelmont,0,1,closed,0,NONE,13,0,0,0,0,0,0,0,0,0,213737.0,,127,19,28,11,1231429557,1728986493
1939,Running two copies of React on a page can give errors because both use ID '.0',1406409014,1459436387,1441861819.0,sophiebits,0,1,closed,0,COLLABORATOR,32,4,0,0,0,0,0,0,0,4,263378.0,,10050,0,169,28,1207953759,1727030459
1955,Key Event issues,1406672392,1412032651,1412032651.0,zpao,0,1,closed,0,MEMBER,8,0,0,0,0,0,0,0,0,0,66881.0,@facebook ,4877,24,160,94,1209098302,1728240492
1962,ReactTextComponent's string props clashes with cloneWithProps,1406739273,1412032548,1412032548.0,glenjamin,0,1,closed,0,CONTRIBUTOR,4,0,0,0,0,0,0,0,0,0,493143.0,Stainlessed Ltd,320,0,301,45,1257861579,1728904783
1998,Object.assign polyfilled in environment,1407232416,1413353335,1413353335.0,syranide,0,1,closed,0,CONTRIBUTOR,10,0,0,0,0,0,0,0,0,0,93232.0,Cetrez,198,3,4,0,1336414389,1728197811
2005,Resolving implicit thead can lead to invariant violation,1407325648,1506901650,1506901650.0,syranide,0,1,closed,0,CONTRIBUTOR,6,0,0,0,0,0,0,0,0,0,2425605.0,Cetrez,198,3,4,0,1336414389,1728197811
